tran_id,orig_acct,bene_acct
1,2,发布
3,1,评论
1,3,回复
4,1,转发
5,1,转发
6,1,转发
7,1,转发
8,1,转发
9,10,发布
9,11,发布
9,2,发布
9,12,发布
9,13,发布
9,14,发布
15,9,转发
16,9,转发
16,17,提及
16,18,提及
19,9,评论
20,21,发布
22,20,评论
23,20,评论
24,20,评论
25,26,发布
25,27,发布
25,28,发布
25,2,发布
25,11,发布
25,29,评论
30,25,评论
31,25,评论
32,21,发布
33,32,评论
34,32,转发
35,32,转发
36,32,转发
37,11,发布
37,38,讨论
37,39,讨论
40,37,转发
41,37,转发
41,42,提及
43,37,转发
44,37,转发
44,45,提及
44,46,提及
44,47,提及
48,2,发布
49,48,评论
50,48,转发
51,48,转发
52,2,发布
52,11,发布
52,53,发布
52,54,发布
52,55,发布
52,56,提及
56,11,讨论
56,53,讨论
57,52,转发
58,52,转发
59,54,发布
59,60,发布
59,61,发布
62,2,发布
62,63,提及
64,62,评论
65,64,回复
64,65,回复
66,62,评论
67,2,发布
68,11,发布
69,68,转发
70,68,转发
71,72,发布
71,2,发布
73,71,评论
73,74,讨论
73,21,提及
75,71,评论
75,21,讨论
76,75,回复
76,21,讨论
77,71,评论
78,2,发布
78,11,提及
79,78,评论
80,79,转发
81,78,评论
82,78,评论
83,2,发布
83,84,提及
85,83,评论
86,85,回复
87,86,回复
88,2,发布
89,88,转发
90,91,提及
91,88,转发
92,2,发布
93,92,评论
92,93,回复
94,92,评论
95,11,发布
95,2,发布
96,95,转发
97,95,转发
98,95,转发
99,95,转发
100,2,发布
101,100,转发
102,100,转发
103,100,转发
92,11,发布
92,2,发布
104,92,评论
105,92,评论
106,92,评论
107,2,发布
107,108,提及
107,109,提及
107,110,提及
107,111,提及
112,113,发布
112,107,评论
114,107,转发
115,116,提及
117,2,发布
118,117,评论
117,118,回复
119,118,回复
120,118,回复
121,122,发布
121,123,发布
121,124,发布
125,11,提及
126,127,评论
128,126,转发
129,127,转发
129,130,提及
129,11,讨论
131,11,发布
131,2,发布
131,132,讨论
131,133,讨论
131,134,讨论
135,131,转发
136,131,评论
137,131,评论
138,131,评论
139,140,发布
139,2,发布
139,11,发布
141,139,评论
139,141,回复
139,11,提及
142,141,回复
142,11,提及
143,11,发布
144,143,评论
145,143,评论
146,143,评论
147,148,发布
147,149,发布
147,12,提及
147,2,提及
147,150,提及
151,147,转发
152,151,评论
153,147,转发
154,151,转发
155,2,发布
156,155,评论
157,155,评论
158,155,评论
159,155,评论
160,2,发布
160,11,发布
161,160,转发
162,160,转发
163,160,转发
164,165,转发
166,21,发布
166,167,提及
166,168,提及
166,2,提及
169,166,评论
169,130,提及
170,169,回复
171,170,回复
172,2,发布
173,172,评论
174,172,评论
175,172,评论
176,2,发布
177,176,评论
178,177,回复
179,176,评论
176,179,回复
71,2,发布
180,71,评论
181,71,评论
181,182,提及
183,71,评论
184,71,评论
185,71,评论
186,187,发布
186,188,提及
189,186,转发
190,186,转发
191,186,评论
192,2,发布
192,193,发布
192,194,发布
195,192,评论
195,193,提及
195,194,提及
196,192,转发
197,192,转发
198,2,发布
198,199,提及
198,11,提及
198,200,提及
198,201,提及
198,202,提及
203,198,转发
204,198,转发
205,198,转发
206,198,评论
206,207,提及
206,208,提及
209,2,发布
210,209,转发
211,210,转发
212,210,转发
213,210,转发
214,209,评论
215,2,发布
216,217,转发
216,215,评论
218,216,转发
219,215,评论
220,2,发布
220,2,讨论
221,220,评论
221,130,提及
222,220,评论
222,84,提及
223,220,评论
198,11,发布
198,224,使用
198,225,使用
198,226,使用
227,198,评论
228,198,评论
229,2,发布
230,229,评论
231,229,评论
232,229,评论
233,11,发布
233,234,提及
233,235,提及
233,2,提及
233,236,提及
237,233,评论
237,234,提及
237,238,提及
239,233,评论
240,233,评论
240,234,提及
240,241,提及
240,242,提及
240,243,提及
240,244,提及
240,245,提及
240,246,提及
15,2,发布
15,247,提及
15,248,提及
15,21,提及
131,15,评论
249,131,回复
250,131,转发
251,15,评论
251,21,提及
251,84,提及
252,11,发布
252,2,发布
253,252,提及
253,254,提及
255,252,评论
256,252,转发
257,2,发布
257,11,发布
257,258,发布
257,259,发布
260,257,评论
261,257,评论
262,257,评论
262,263,提及
264,2,发布
265,264,评论
265,2,提及
266,264,评论
267,264,转发
252,11,发布
268,252,转发
269,252,转发
270,252,转发
271,252,评论
272,273,发布
272,274,发布
272,2,提及
272,275,提及
272,11,提及
276,272,评论
276,11,提及
277,272,评论
277,278,提及
277,279,提及
272,280,提及
272,281,提及
272,2,提及
282,11,发布
282,2,发布
282,283,讨论
282,284,讨论
285,282,评论
286,282,评论
287,282,转发
288,282,评论
252,11,发布
252,2,发布
252,133,发布
252,134,发布
289,252,评论
290,252,转发
291,252,转发
292,252,转发
17,2,发布
293,17,转发
294,17,转发
295,17,转发
296,17,转发
37,2,发布
37,130,提及
37,297,提及
79,37,转发
298,299,转发
299,130,提及
299,2,提及
300,37,转发
